ID_RECIPE|ID_USER|URL|ROLE|RECIPE_COUNT
241308|8601924|http://allrecipes.com/cook/8601924/|author|96
26235|1744|http://allrecipes.com/cook/1744/|author|52
245836|16366934|http://allrecipes.com/cook/16366934/|author|33
11326|39277|http://allrecipes.com/cook/39277/|author|26
7941|35387|http://allrecipes.com/cook/35387/|author|24
21112|57490|http://allrecipes.com/cook/57490/|author|24
245208|5344082|http://allrecipes.com/cook/5344082/|author|21
240213|20505287|http://allrecipes.com/cook/20505287/|author|20
212449|1464657|http://allrecipes.com/cook/1464657/|author|20
254462|18181739|http://allrecipes.com/cook/18181739/|author|19
239450|20505362|http://allrecipes.com/cook/20505362/|author|17
219440|4087985|http://allrecipes.com/cook/4087985/|author|16
155124|18213991|http://allrecipes.com/cook/18213991/|author|15
246160|17191610|http://allrecipes.com/cook/17191610/|author|14
244595|11826759|http://allrecipes.com/cook/11826759/|author|14
22402|63733|http://allrecipes.com/cook/63733/|author|13
215222|19999585|http://allrecipes.com/cook/19999585/|author|12
238528|9986944|http://allrecipes.com/cook/9986944/|author|12
130049|20505374|http://allrecipes.com/cook/20505374/|author|12
125869|3672150|http://allrecipes.com/cook/3672150/|author|11
229781|2719400|http://allrecipes.com/cook/2719400/|author|11
21028|11111|http://allrecipes.com/cook/11111/|author|11
228733|20505355|http://allrecipes.com/cook/20505355/|author|11
235892|20505397|http://allrecipes.com/cook/20505397/|author|10
256459|20505312|http://allrecipes.com/cook/20505312/|author|10
233229|4976982|http://allrecipes.com/cook/4976982/|author|10
238142|3516258|http://allrecipes.com/cook/3516258/|author|10
13694|3340|http://allrecipes.com/cook/3340/|author|9
255878|20585754|http://allrecipes.com/cook/20585754/|author|9
238478|20505357|http://allrecipes.com/cook/20505357/|author|9
245961|17029201|http://allrecipes.com/cook/17029201/|author|9
232892|20505321|http://allrecipes.com/cook/20505321/|author|9
256664|20505389|http://allrecipes.com/cook/20505389/|author|9
245928|17284818|http://allrecipes.com/cook/17284818/|author|8
18384|61842|http://allrecipes.com/cook/61842/|author|8
256260|20691940|http://allrecipes.com/cook/20691940/|author|8
21381|10642|http://allrecipes.com/cook/10642/|author|8
213086|20505282|http://allrecipes.com/cook/20505282/|author|7
231884|20505335|http://allrecipes.com/cook/20505335/|author|7
244679|20505373|http://allrecipes.com/cook/20505373/|author|7
254692|7662230|http://allrecipes.com/cook/7662230/|author|7
239259|20505356|http://allrecipes.com/cook/20505356/|author|7
242314|4562668|http://allrecipes.com/cook/4562668/|author|7
84726|905505|http://allrecipes.com/cook/905505/|author|7
246462|3100951|http://allrecipes.com/cook/3100951/|author|7
215955|20505376|http://allrecipes.com/cook/20505376/|author|6
255197|466670|http://allrecipes.com/cook/466670/|author|6
256895|21323107|http://allrecipes.com/cook/21323107/|author|6
255380|1567825|http://allrecipes.com/cook/1567825/|author|6
213025|297423|http://allrecipes.com/cook/297423/|author|6
247169|20505394|http://allrecipes.com/cook/20505394/|author|6
13624|20660|http://allrecipes.com/cook/20660/|author|6
236335|11074661|http://allrecipes.com/cook/11074661/|author|6
152239|1594188|http://allrecipes.com/cook/1594188/|author|6
17403|361129|http://allrecipes.com/cook/361129/|author|6
20196|663357|http://allrecipes.com/cook/663357/|author|6
18961|131367|http://allrecipes.com/cook/131367/|author|6
169474|2297575|http://allrecipes.com/cook/2297575/|author|6
192860|196935|http://allrecipes.com/cook/196935/|author|6
102049|405170|http://allrecipes.com/cook/405170/|author|5
194340|20505308|http://allrecipes.com/cook/20505308/|author|5
74727|364961|http://allrecipes.com/cook/364961/|author|5
245100|5049175|http://allrecipes.com/cook/5049175/|author|5
233418|5412785|http://allrecipes.com/cook/5412785/|author|5
230469|1872290|http://allrecipes.com/cook/1872290/|author|5
238335|20505316|http://allrecipes.com/cook/20505316/|author|5
16155|3099|http://allrecipes.com/cook/3099/|author|5
232606|20505319|http://allrecipes.com/cook/20505319/|author|5
170876|1109832|http://allrecipes.com/cook/1109832/|author|5
237932|20505404|http://allrecipes.com/cook/20505404/|author|5
13334|19669|http://allrecipes.com/cook/19669/|author|5
240490|8623744|http://allrecipes.com/cook/8623744/|author|5
143382|1808612|http://allrecipes.com/cook/1808612/|author|5
16879|13128|http://allrecipes.com/cook/13128/|author|5
256308|895249|http://allrecipes.com/cook/895249/|author|5
232068|6549646|http://allrecipes.com/cook/6549646/|author|5
244126|4274661|http://allrecipes.com/cook/4274661/|author|5
246197|1800959|http://allrecipes.com/cook/1800959/|author|5
230341|20505400|http://allrecipes.com/cook/20505400/|author|5
189657|3097894|http://allrecipes.com/cook/3097894/|author|4
242083|3189183|http://allrecipes.com/cook/3189183/|author|4
221273|20505354|http://allrecipes.com/cook/20505354/|author|4
216392|20505341|http://allrecipes.com/cook/20505341/|author|4
245499|3811326|http://allrecipes.com/cook/3811326/|author|4
240356|20505381|http://allrecipes.com/cook/20505381/|author|4
255667|20583828|http://allrecipes.com/cook/20583828/|author|4
229435|20505359|http://allrecipes.com/cook/20505359/|author|4
85875|1309497|http://allrecipes.com/cook/1309497/|author|4
235344|2225200|http://allrecipes.com/cook/2225200/|author|4
76225|1183678|http://allrecipes.com/cook/1183678/|author|4
64302|182790|http://allrecipes.com/cook/182790/|author|4
159111|753032|http://allrecipes.com/cook/753032/|author|4
256705|6412992|http://allrecipes.com/cook/6412992/|author|4
256030|12690585|http://allrecipes.com/cook/12690585/|author|4
246665|443640|http://allrecipes.com/cook/443640/|author|4
13885|39233|http://allrecipes.com/cook/39233/|author|4
238326|3749653|http://allrecipes.com/cook/3749653/|author|4
256017|20287902|http://allrecipes.com/cook/20287902/|author|4
255040|3991009|http://allrecipes.com/cook/3991009/|author|4
35756|72564|http://allrecipes.com/cook/72564/|author|4
16306|236424|http://allrecipes.com/cook/236424/|author|4
143352|1746920|http://allrecipes.com/cook/1746920/|author|4
107017|804714|http://allrecipes.com/cook/804714/|author|4
217923|20505289|http://allrecipes.com/cook/20505289/|author|4
242499|20505399|http://allrecipes.com/cook/20505399/|author|4
